estimator,estimator__act,estimator__learning_rate,estimator__n_hidden,estimator__n_neurons,std,neg_log_loss
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,sigmoid,0.02475916384564786,3,56,0.042193019487895035,-0.31849988886815467
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.00039710532050257275,4,105,0.025860886447299582,-0.3192073036685897
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.018640769694248716,2,187,0.06968041912212124,-0.31951704183819035
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.015987534357457953,2,55,0.017588635834762254,-0.3215940620157614
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.007145738433070182,3,51,0.04179330853415955,-0.32175468165063675
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,selu,0.004426631729216194,5,164,0.06812362721597812,-0.3231712792456398
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.015998294668815083,2,69,0.04565233838126702,-0.32328311208726124
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.0032534598748979932,3,35,0.03536867533993971,-0.32569411907816753
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,relu,0.0021425451131619677,3,118,0.07646836791896085,-0.3268822884811147
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.020320601185878254,1,28,0.03337520069946201,-0.32706040391862945
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.004127576153269767,4,166,0.07607093292499363,-0.3272186110341571
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.009343239684311307,4,54,0.0607237577671663,-0.3274865503138331
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,elu,0.003417914856758485,4,190,0.02393878077149364,-0.3286482549662466
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.009400844161409433,4,183,0.06490390472786017,-0.33301452109008217
<tensorflow.python.keras.wrappers.scikit_learn.KerasClassifier object at 0x0000025FFDF39370>,tanh,0.005240852121920903,3,47,0.07613366703550575,-0.3331788175906687
